,CUSIP,year,month,return,dummy_variable
144,68389X10,1998,02,0.059140,0
145,68389X10,1998,03,0.281726,0
146,68389X10,1998,04,-0.180198,0
147,68389X10,1998,05,-0.086957,0
148,68389X10,1998,06,0.039683,0
149,68389X10,1998,07,0.078880,0
150,68389X10,1998,08,-0.247642,0
151,68389X10,1998,09,0.460815,0
152,68389X10,1998,10,0.015021,0
153,68389X10,1998,11,0.158562,0
154,68389X10,1998,12,0.259124,0
155,68389X10,1999,01,0.284058,0
156,68389X10,1999,02,0.009029,0
157,68389X10,1999,03,-0.291946,0
158,68389X10,1999,04,0.026066,0
159,68389X10,1999,05,-0.083141,0
160,68389X10,1999,06,0.496222,0
161,68389X10,1999,07,0.025253,0
162,68389X10,1999,08,-0.041051,0
163,68389X10,1999,09,0.246575,0
164,68389X10,1999,10,0.045330,0
165,68389X10,1999,11,0.425756,0
166,68389X10,1999,12,0.652535,0
167,68389X10,2000,01,-0.108477,0
168,68389X10,2000,02,0.486393,0
169,68389X10,2000,03,0.051347,0
170,68389X10,2000,04,0.024019,0
171,68389X10,2000,05,-0.100860,0
172,68389X10,2000,06,0.169565,0
173,68389X10,2000,07,-0.105576,0
174,68389X10,2000,08,0.209476,0
175,68389X10,2000,09,-0.134021,0
176,68389X10,2000,10,-0.161905,0
177,68389X10,2000,11,-0.196970,0
178,68389X10,2000,12,0.096698,0
179,68389X10,2001,01,0.002151,0
180,68389X10,2001,02,-0.347639,0
181,68389X10,2001,03,-0.211579,0
182,68389X10,2001,04,0.078772,0
183,68389X10,2001,05,-0.053218,0
184,68389X10,2001,06,0.241830,0
185,68389X10,2001,07,-0.048421,0
186,68389X10,2001,08,-0.324668,0
187,68389X10,2001,09,0.030303,0
188,68389X10,2001,10,0.077901,0
189,68389X10,2001,11,0.034661,0
190,68389X10,2001,12,-0.015681,0
191,68389X10,2002,01,0.249819,0
192,68389X10,2002,02,-0.037080,0
193,68389X10,2002,03,-0.229844,0
194,68389X10,2002,04,-0.215625,0
195,68389X10,2002,05,-0.211155,0
196,68389X10,2002,06,0.195707,0
197,68389X10,2002,07,0.056917,0
198,68389X10,2002,08,-0.041862,0
199,68389X10,2002,09,-0.180396,0
200,68389X10,2002,10,0.296438,0
201,68389X10,2002,11,0.192345,0
202,68389X10,2002,12,-0.111111,0
203,68389X10,2003,01,0.113889,0
204,68389X10,2003,02,-0.005819,0
205,68389X10,2003,03,-0.092893,0
206,68389X10,2003,04,0.095032,0
207,68389X10,2003,05,0.095118,0
208,68389X10,2003,06,-0.076864,0
209,68389X10,2003,07,-0.001665,0
210,68389X10,2003,08,0.070058,0
211,68389X10,2003,09,-0.123149,0
212,68389X10,2003,10,0.064000,0
213,68389X10,2003,11,0.004177,0
214,68389X10,2003,12,0.100665,0
215,68389X10,2004,01,0.047619,0
216,68389X10,2004,02,-0.071429,0
217,68389X10,2004,03,-0.067599,0
218,68389X10,2004,04,-0.062500,0
219,68389X10,2004,05,0.013333,0
220,68389X10,2004,06,0.046491,0
221,68389X10,2004,07,-0.119028,0
222,68389X10,2004,08,-0.051380,0
223,68389X10,2004,09,0.131394,0
224,68389X10,2004,10,0.122340,0
225,68389X10,2004,11,0.006319,0
226,68389X10,2004,12,0.076923,0
227,68389X10,2005,01,0.003644,0
228,68389X10,2005,02,-0.059550,0
229,68389X10,2005,03,-0.036293,0
230,68389X10,2005,04,-0.073718,0
231,68389X10,2005,05,0.107266,0
232,68389X10,2005,06,0.031250,0
233,68389X10,2005,07,0.028030,0
234,68389X10,2005,08,-0.042741,0
235,68389X10,2005,09,-0.045420,0
236,68389X10,2005,10,0.022581,0
237,68389X10,2005,11,-0.006309,0
238,68389X10,2005,12,-0.030952,0
239,68389X10,2006,01,0.029484,0
240,68389X10,2006,02,-0.011933,0
241,68389X10,2006,03,0.102254,0
242,68389X10,2006,04,0.065741,0
243,68389X10,2006,05,-0.025360,0
244,68389X10,2006,06,0.018987,0
245,68389X10,2006,07,0.033126,0
246,68389X10,2006,08,0.046092,0
247,68389X10,2006,09,0.132822,0
248,68389X10,2006,10,0.041150,0
249,68389X10,2006,11,0.031402,0
250,68389X10,2006,12,-0.100262,0
251,68389X10,2007,01,0.001167,0
252,68389X10,2007,02,-0.042541,0
253,68389X10,2007,03,0.103469,0
254,68389X10,2007,04,0.036955,0
255,68389X10,2007,05,0.030851,0
256,68389X10,2007,06,0.017028,0
257,68389X10,2007,07,-0.029934,0
258,68389X10,2007,08,0.060669,0
259,68389X10,2007,09,0.067554,0
260,68389X10,2007,10,0.024018,0
261,68389X10,2007,11,-0.089761,0
262,68389X10,2007,12,0.118930,0
263,68389X10,2008,01,-0.089903,0
264,68389X10,2008,02,-0.085158,0
265,68389X10,2008,03,0.040426,0
266,68389X10,2008,04,0.065951,0
267,68389X10,2008,05,0.095444,0
268,68389X10,2008,06,-0.080560,0
269,68389X10,2008,07,0.025238,0
270,68389X10,2008,08,0.018579,0
271,68389X10,2008,09,-0.073871,0
272,68389X10,2008,10,-0.099458,0
273,68389X10,2008,11,-0.120284,0
274,68389X10,2008,12,0.101927,0
275,68389X10,2009,01,-0.050761,0
276,68389X10,2009,02,-0.076649,0
277,68389X10,2009,03,0.162806,0
278,68389X10,2009,04,0.073049,0
279,68389X10,2009,05,0.012927,0
280,68389X10,2009,06,0.093415,0
281,68389X10,2009,07,0.035481,0
282,68389X10,2009,08,-0.011297,0
283,68389X10,2009,09,-0.047532,0
284,68389X10,2009,10,0.014875,0
285,68389X10,2009,11,0.046445,0
286,68389X10,2009,12,0.110960,0
287,68389X10,2010,01,-0.057888,0
288,68389X10,2010,02,0.068951,0
289,68389X10,2010,03,0.043002,0
290,68389X10,2010,04,0.008071,0
291,68389X10,2010,05,-0.127477,0
292,68389X10,2010,06,-0.049180,0
293,68389X10,2010,07,0.103914,0
294,68389X10,2010,08,-0.075931,0
295,68389X10,2010,09,0.229114,0
296,68389X10,2010,10,0.096089,0
297,68389X10,2010,11,-0.079476,0
298,68389X10,2010,12,0.157330,0
299,68389X10,2011,01,0.024920,0
300,68389X10,2011,02,0.027162,0
301,68389X10,2011,03,0.016185,0
302,68389X10,2011,04,0.077395,0
303,68389X10,2011,05,-0.048387,0
304,68389X10,2011,06,-0.038282,0
305,68389X10,2011,07,-0.068976,0
306,68389X10,2011,08,-0.082080,0
307,68389X10,2011,09,0.023869,0
308,68389X10,2011,10,0.142310,0
309,68389X10,2011,11,-0.043332,0
310,68389X10,2011,12,-0.181818,0
311,68389X10,2012,01,0.102144,0
312,68389X10,2012,02,0.037044,0
313,68389X10,2012,03,-0.003247,0
314,68389X10,2012,04,0.010288,0
315,68389X10,2012,05,-0.099660,0
316,68389X10,2012,06,0.122025,0
317,68389X10,2012,07,0.018855,0
318,68389X10,2012,08,0.048013,0
319,68389X10,2012,09,-0.006003,0
320,68389X10,2012,10,-0.010172,0
321,68389X10,2012,11,0.035232,0
322,68389X10,2012,12,0.041181,0
323,68389X10,2013,01,0.065726,0
324,68389X10,2013,02,-0.035764,0
325,68389X10,2013,03,-0.055783,0
326,68389X10,2013,04,0.013919,0
327,68389X10,2013,05,0.030506,0
328,68389X10,2013,06,-0.090882,0
329,68389X10,2013,07,0.057310,0
330,68389X10,2013,08,-0.015147,0
331,68389X10,2013,09,0.041117,0
332,68389X10,2013,10,0.013567,0
333,68389X10,2013,11,0.053433,0
334,68389X10,2013,12,0.084160,0
335,68389X10,2014,01,-0.032410,0
336,68389X10,2014,02,0.059892,0
337,68389X10,2014,03,0.046024,0
338,68389X10,2014,04,0.002200,0
339,68389X10,2014,05,0.027886,0
340,68389X10,2014,06,-0.035459,0
341,68389X10,2014,07,-0.000493,0
342,68389X10,2014,08,0.028225,0
343,68389X10,2014,09,-0.078257,0
344,68389X10,2014,10,0.023250,0
