Year; Shares ;Company;Percentage of Company Owned; Cost (in millions) ; Market (in millions) ;Ticker;Net Change in Shares Since Prior Report
1999;50.536.900;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.470,00;8.402,00;AXP;0
1999;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.299,00;11.650,00;CCC3;0
1999;59.559.300;Freddie Mac ;0;294;2.803,00;FMCC;-738700
1999;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;3.954,00;GILLETTE;0
1999;1.727.765;The Washington Post Company ;0;11;960;WPO;0
1999;59.136.680;Wells Fargo & Company ;0;349;2.391,00;WFC;-4458500
1999;0;Others ;0;4.180,00;6.848,00;No Ticker;0
1998;50.536.900;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.470,00;5.180,00;AXP;1080000
1998;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.299,00;13.400,00;CCC3;0
1998;51.202.242;THE WALT DISNEY COMPANY (XETR:WDP);0;281;1.536,00;WDP;29638828
1998;60.298.000;Freddie Mac ;0;308;3.885,00;FMCC;-3679600
1998;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;4.590,00;GILLETTE;48000000
1998;1.727.765;The Washington Post Company ;0;11;999;WPO;0
1998;63.595.180;Wells Fargo & Company ;0;392;2.540,00;WFC;56904962
1998;0;Others ;0;2.683,00;5.135,00;No Ticker;0
1997;49.456.900;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.392,70;4.414,00;AXP;0
1997;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.298,90;13.337,50;CCC3;0
1997;21.563.414;THE WALT DISNEY COMPANY (XETR:WDP);0;381,2;2.134,80;WDP;-3050800
1997;63.977.600;Freddie Mac             ;0;329,4;2.683,10;FMCC;0
1997;48.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;4.821,00;GILLETTE;0
1997;23.733.198;Travelers Group Inc.    ;0;604,4;1.278,60;TRV;0
1997;1.727.765;The Washington Post Company;0;10,6;840,6;WPO;0
1997;6.690.218;Wells Fargo & Company;0;412,6;2.270,90;WFC;-601200
1997;                  ;Others                    ;0;2.177,10;4.467,20;No Ticker;0
1996;49.456.900;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.392,70;2.794,30;AXP;0
1996;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.298,90;10.525,00;CCC3;100000000
1996;24.614.214;THE WALT DISNEY COMPANY (XETR:WDP);0;577;1.716,80;WDP;0
1996;64.246.000;FEDERAL HOME LOAN MORTGAGE CORP (XETR:FHL);0;333,4;1.772,80;FHL;51743500
1996;48.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;3.732,00;GILLETTE;0
1996;30.156.600;McDonald's Corporation ;0;1.265,30;1.368,40;MCD;0
1996;1.727.765;The Washington Post Company;0;10,6;579;WPO;0
1996;7.291.418;Wells Fargo & Company     ;0;497,8;1.966,90;WFC;500200
1996;0;Others  ;0;1.934,50;3.295,40;No Ticker;0
1995;49.456.900;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.392,70;2.046,30;AXP;0
1995;20.000.000;Capital Cities/ABC, Inc.;0;345;2.467,50;CCP;0
1995;100.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.298,90;7.425,00;CCC3;0
1995;12.502.500;FEDERAL HOME LOAN MORTGAGE CORP (XETR:FHL);0;260,1;1.044,00;FHL;0
1995;34.250.000;GEICO Corp.;0;45,7;2.393,20;No Ticker;0
1995;48.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;2.502,00;GILLETTE;0
1995;6.791.218;Wells Fargo & Company;0;423,7;1.466,90;WFC;0
1995;                ;Others;0;1.379,00;2.655,40;No Ticker;0
